name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nederland,2022-12-01,7.4,2.6,4.9,5.7,0.7,3.6,3.5,91.2,0.009,100,4.17,rain,0,0,20.5,13.2,27.3,1028.1,64.2,8,23.7,2.2,2,10,2022-12-01T08:27:41,2022-12-01T16:30:48,0.26,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-02,4.9,2.2,3.2,2.4,-2.9,-1,0.9,84.7,0,0,0,,0,0,43.9,28.6,58.9,1025.6,98.9,8.9,10.5,0.9,1,10,2022-12-02T08:29:06,2022-12-02T16:30:09,0.3,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-03,3.4,0.4,2,-1,-4.5,-2.8,-1.1,80.1,0,0,0,,0,0,38.9,26.3,72.3,1022.1,98,11.6,6.2,0.4,0,10,2022-12-03T08:30:30,2022-12-03T16:29:34,0.33,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-04,3.5,0.2,1.2,-1.1,-4.6,-3.6,-1.1,84.9,0,0,0,,0,0,37.2,26.3,71.4,1018.6,100,9.1,3.5,0.3,0,10,2022-12-04T08:31:51,2022-12-04T16:29:01,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
Nederland,2022-12-05,6.3,3.8,5.4,3.5,-0.8,2,4,91,0.19,100,12.5,rain,0,0,40.4,23.1,34.3,1019.9,99.6,15.7,5.8,0.5,0,10,2022-12-05T08:33:11,2022-12-05T16:28:32,0.4,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-06,7.2,0.9,4.8,5.6,-1.5,3.1,3.7,92.8,1.978,100,37.5,rain,0,0,27.8,13.8,297.9,1019.7,83.8,25.4,26.5,2.3,2,10,2022-12-06T08:34:28,2022-12-06T16:28:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-07,6.6,2.2,4.2,4.3,0.5,2.2,2.3,87.7,2.284,100,29.17,rain,0,0,27.9,13.5,282.7,1015.8,74.2,30.8,36,3.1,3,10,2022-12-07T08:35:42,2022-12-07T16:27:45,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-08,4.4,-0.3,2.8,2,-2.6,0.3,1.8,93.2,6.445,100,58.33,"rain,snow",0,0,28.3,16.6,216.7,1007.5,83.5,24.2,14.6,1.3,1,10,2022-12-08T08:36:54,2022-12-08T16:27:26,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-09,2.1,-2.5,-0.1,0.9,-5.1,-2.2,-0.5,97.6,0.575,100,8.33,"rain,snow",0,0,20.6,13.1,170.6,1006.6,66.8,3.5,14.1,1.2,1,10,2022-12-09T08:38:04,2022-12-09T16:27:11,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-10,1.4,-1.1,0.1,-1.8,-5.2,-3.9,0,99.3,0,0,0,,0,0,26.3,17.4,185.1,1009.4,95.7,1.8,8.3,0.7,0,10,2022-12-10T08:39:11,2022-12-10T16:26:59,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,remote,06269099999,06257099999"
Nederland,2022-12-11,2.4,0.9,1.7,-0.7,-2.7,-1.7,0,89,0,0,0,,0,0,21.7,15.6,175.8,1009.8,100,9,11.1,1.1,1,10,2022-12-11T08:40:15,2022-12-11T16:26:51,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"06260099999,D3248,06348099999,06249099999,06240099999,C0449,06269099999,06257099999"
